City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao vicente,-23.9631,-46.3919,26.82,26,26,1.5,BR,1706589150
83,angaur state,6.906,134.13,27.43,83,100,7.81,PW,1706589150
84,mersing,2.4312,103.8405,28.95,74,40,4.12,MY,1706589150
85,carnarvon,-24.8667,113.6333,29.37,54,0,6.78,AU,1706589150
86,georgetown,5.4112,100.3354,32.75,60,20,4.12,MY,1706589150
87,nelson bay,-32.7167,152.15,30.03,81,87,8.49,AU,1706589151
88,zouerate,22.7187,-12.4521,15.21,17,0,3.76,MR,1706589151
89,amahai,-3.3333,128.9167,31.07,60,81,3.16,ID,1706589151
90,keflavik,64.0049,-22.5624,-1.05,93,75,18.01,IS,1706589151
91,westport,41.1415,-73.3579,2.4,68,100,3.09,US,1706589152
92,haimen,23.1935,116.6142,16.94,83,100,4.14,CN,1706589152
93,alta,69.9689,23.2717,-0.41,86,75,6.17,NO,1706589152
94,walvis bay,-22.9575,14.5053,17.53,82,0,0.0,NA,1706589152
95,vikulovo,56.8167,70.6107,-16.89,97,99,1.61,RU,1706589152
96,thompson,55.7435,-97.8558,-2.91,93,100,2.57,CA,1706589153
97,punta arenas,-53.15,-70.9167,11.06,66,75,1.03,CL,1706588873
98,puerto deseado,-47.7503,-65.8938,14.37,73,81,4.91,AR,1706589153
99,cole harbour,44.6724,-63.4751,-6.29,80,100,5.81,CA,1706589153
100,ushuaia,-54.8,-68.3,8.81,76,40,2.06,AR,1706589154
101,baharly,38.4362,57.4316,3.14,70,12,2.45,TM,1706589154
102,dudinka,69.4058,86.1778,-17.99,81,100,9.16,RU,1706589154
103,male,4.1748,73.5089,29.97,74,40,5.14,MV,1706589154
104,hithadhoo,-0.6,73.0833,28.21,73,11,4.19,MV,1706589155
105,yaren,-0.5472,166.916,29.11,71,65,8.53,NR,1706589155
106,mizan teferi,6.9833,35.5833,19.82,64,46,1.2,ET,1706589155
107,prainha,-1.8,-53.48,23.75,92,98,1.33,BR,1706589155
108,lebu,-37.6167,-73.65,13.08,86,44,4.63,CL,1706589155
109,st. john's,47.5649,-52.7093,-4.46,92,100,13.41,CA,1706589156
110,afaahiti,-17.75,-149.2833,29.93,77,88,2.65,PF,1706589156
111,saynshand,44.8824,110.1163,-20.07,88,93,3.84,MN,1706589156
112,trairi,-3.2778,-39.2689,26.1,79,41,3.81,BR,1706589156
113,cedar city,37.6775,-113.0619,5.22,77,0,0.0,US,1706588915
114,atafu village,-8.5421,-172.5159,29.74,69,77,2.09,TK,1706589157
115,iquique,-20.2208,-70.1431,22.02,77,27,2.21,CL,1706589157
116,taroa,8.7058,171.2275,26.61,84,100,9.86,MH,1706589157
117,mar del plata,-38.0023,-57.5575,21.64,84,0,4.92,AR,1706589084
118,port alfred,-33.5906,26.891,21.77,87,84,1.79,ZA,1706589158
119,praia da vitoria,38.7333,-27.0667,16.53,88,75,4.96,PT,1706589158
120,usinsk,65.9939,57.5281,-12.18,94,100,8.05,RU,1706589158
